,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Cherskiy,68.75,161.3,18.84,63,1,4.68,RU,1618453780
82,Nouakchott,18.0858,-15.9785,73.4,53,100,17.27,MR,1618453781
83,Saint-Philippe,-21.3585,55.7679,73.4,83,40,5.75,RE,1618453781
84,Henties Bay,-22.116,14.2845,73.99,37,0,7.47,NA,1618453781
85,North Platte,41.1239,-100.7654,41.0,52,90,5.75,US,1618453654
86,Lavrentiya,65.5833,-171.0,29.44,88,97,2.35,RU,1618453782
87,Bethel,41.3712,-73.414,60.8,55,90,5.75,US,1618453782
88,Yulara,-25.2406,130.9889,64.4,63,75,17.27,AU,1618453782
89,Yarkovo,57.4028,67.0786,48.38,81,32,7.25,RU,1618453783
90,Ankang,32.68,109.0172,62.01,19,36,5.99,CN,1618453562
91,San Patricio,28.017,-97.5169,77.0,94,75,9.22,US,1618453783
92,Ponta do Sol,32.6667,-17.1,62.6,67,20,5.75,PT,1618453783
93,Tautira,-17.7333,-149.15,82.4,74,75,11.5,PF,1618453784
94,Hilo,19.7297,-155.09,80.6,54,1,11.5,US,1618453689
95,Atuona,-9.8,-139.0333,80.85,72,15,19.53,PF,1618453784
96,Saraland,30.8207,-88.0706,66.99,97,100,2.86,US,1618453785
97,Jamestown,42.097,-79.2353,46.99,49,90,10.36,US,1618453785
98,Ibotirama,-12.1853,-43.2206,72.93,53,98,1.97,BR,1618453785
99,Astoria,46.1879,-123.8313,59.0,38,1,4.61,US,1618453786
100,Mayo,38.8876,-76.5119,57.2,100,90,5.75,US,1618453786
101,Constitución,-35.3333,-72.4167,55.71,85,5,9.55,CL,1618453786
102,Lagoa,39.05,-27.9833,60.69,87,43,10.56,PT,1618453787
103,Luena,-11.7833,19.9167,60.98,95,86,2.82,AO,1618453787
104,Abū Zabad,12.35,29.25,74.3,8,7,11.18,SD,1618453788
105,Margate,51.3813,1.3862,41.0,70,15,4.0,GB,1618453788
106,Butaritari,3.0707,172.7902,82.13,75,54,7.02,KI,1618453788
107,Carnarvon,-24.8667,113.6333,80.31,42,0,19.33,AU,1618453789
108,Cochabamba,-17.3895,-66.1568,57.0,80,92,3.38,BO,1618453789
109,Pekan,3.4836,103.3996,84.2,79,20,2.3,MY,1618453789
110,Imbituba,-28.24,-48.6703,66.2,94,0,8.14,BR,1618453790
111,Tommot,58.9564,126.2925,30.96,86,100,7.58,RU,1618453790
112,Anadyr,64.75,177.4833,10.4,67,0,4.47,RU,1618453790
113,Taoudenni,22.6783,-3.9836,83.88,12,0,13.06,ML,1618453791
114,Puerto Ayora,-0.7393,-90.3518,76.24,90,23,3.04,EC,1618453791
115,Chapais,49.7834,-74.8492,44.6,45,1,4.61,CA,1618453791
116,Tucupita,9.0622,-62.051,74.37,88,99,3.33,VE,1618453792
117,Hulan Ergi,47.2042,123.6333,46.96,39,100,11.23,CN,1618453792
118,Głogów,51.6636,16.0845,37.0,73,100,8.01,PL,1618453565
119,Quatre Cocos,-20.2078,57.7625,77.0,88,75,2.3,MU,1618453793
120,Tegul'det,57.3064,88.1667,33.84,78,100,2.89,RU,1618453793
121,Shubarkuduk,49.1447,56.4872,47.35,58,0,11.39,KZ,1618453793
122,Aldan,58.6031,125.3894,27.37,74,100,11.25,RU,1618453794
123,Kampot,10.6167,104.1833,86.0,70,0,5.75,KH,1618453794
124,Bukene,-4.2333,32.8833,61.83,98,100,3.53,TZ,1618453794
125,Torbay,47.6666,-52.7314,33.01,100,90,9.22,CA,1618453795
126,Praia da Vitória,38.7333,-27.0667,57.99,94,0,3.4,PT,1618453795
127,East London,-33.0153,27.9116,67.42,83,5,6.53,ZA,1618453796
128,Nanortalik,60.1432,-45.2371,32.45,90,50,12.93,GL,1618453563
129,Karratha,-20.7377,116.8463,84.04,51,22,17.69,AU,1618453796
130,Lüderitz,-26.6481,15.1594,75.56,28,0,6.62,NA,1618453796
131,Port Alfred,-33.5906,26.891,67.15,80,63,7.25,ZA,1618453797
132,Brae,60.3964,-1.353,42.8,93,20,3.96,GB,1618453797
133,Provideniya,64.3833,-173.3,23.0,68,0,4.47,RU,1618453797
134,Itacoatiara,-3.1431,-58.4442,75.06,94,100,1.61,BR,1618453798
135,Wuwei,37.9281,102.6414,48.13,20,42,9.71,CN,1618453690
136,Barra Velha,-26.6322,-48.6847,73.4,68,75,9.22,BR,1618453614
137,Salalah,17.0151,54.0924,77.0,78,20,4.61,OM,1618453799
138,Manokwari,-0.8667,134.0833,83.71,71,99,4.63,ID,1618453799
139,Naze,28.3667,129.4833,69.8,60,75,10.36,JP,1618453800
140,Province of Trapani,37.8333,12.6667,53.6,87,0,8.05,IT,1618453800
141,Scarborough,54.2797,-0.4044,32.0,89,18,3.53,GB,1618453763
142,Mount Gambier,-37.8333,140.7667,62.6,77,40,17.27,AU,1618453760
143,Shimoda,34.6667,138.95,53.6,47,75,12.66,JP,1618453800
144,Yumen,40.2833,97.2,45.37,13,0,9.44,CN,1618453801
145,Aegviidu,59.2858,25.6142,35.6,69,0,6.91,EE,1618453801
146,Dunedin,-45.8742,170.5036,61.0,71,20,5.99,NZ,1618453802
147,Fortuna,40.5982,-124.1573,54.0,71,1,13.8,US,1618453802
148,La Ronge,55.1001,-105.2842,42.8,26,98,4.61,CA,1618453516
149,Port-Cartier,50.0334,-66.8654,36.0,93,1,2.3,CA,1618453803
150,Caohai,26.8661,104.2841,61.99,49,31,2.24,CN,1618453803
151,Lompoc,34.6391,-120.4579,55.4,62,50,11.5,US,1618453803
152,Dikson,73.5069,80.5464,-14.12,99,100,8.39,RU,1618453804
153,Mareeba,-17.0,145.4333,84.99,58,50,10.36,AU,1618453804
154,Nuevitas,21.5453,-77.2644,69.8,83,0,8.05,CU,1618453626
155,Yaan,7.3833,8.5667,76.75,68,99,5.08,NG,1618453805
156,Santiago del Estero,-27.7951,-64.2615,74.86,58,100,5.7,AR,1618453806
157,Hithadhoo,-0.6,73.0833,82.09,64,44,3.56,MV,1618453806
158,Nikolskoye,59.7035,30.7861,35.6,64,0,4.47,RU,1618453806
159,Nānākuli,21.3906,-158.1547,80.6,47,40,11.5,US,1618453807
160,Arman',59.7,150.1667,27.01,76,99,9.6,RU,1618453807
161,Mahébourg,-20.4081,57.7,77.0,88,75,2.3,MU,1618453807
162,Maniitsoq,65.4167,-52.9,20.03,82,100,19.28,GL,1618453808
163,Skegness,53.1436,0.3363,37.99,86,67,6.91,GB,1618453808
164,Tagāb,34.855,69.6492,50.0,87,75,3.44,AF,1618453809
165,Aklavik,68.2191,-135.0107,35.6,60,100,1.14,CA,1618453809
166,Bar Harbor,44.3876,-68.2039,42.01,81,1,3.44,US,1618453810
167,Deder,9.3167,41.45,57.45,63,10,3.24,ET,1618453810
168,Kununurra,-15.7667,128.7333,91.4,29,14,3.44,AU,1618453810
169,Sungai Penuh,-2.0833,101.3833,72.88,82,92,1.81,ID,1618453811
170,Kenai,60.5544,-151.2583,42.8,70,90,6.91,US,1618453811
171,Bredasdorp,-34.5322,20.0403,51.8,100,96,2.3,ZA,1618453811
172,Esperance,-33.8667,121.9,66.2,72,75,11.5,AU,1618453812
173,Novopavlovka,51.2172,109.2091,38.1,29,14,9.95,RU,1618453812
174,Soe,-9.8607,124.284,77.52,49,96,5.41,ID,1618453812
175,Vao,-22.6667,167.4833,74.95,79,78,19.91,NC,1618453813
176,Castro,-24.7911,-50.0119,53.73,97,100,5.77,BR,1618453688
177,Tonekābon,36.8163,50.8738,53.6,82,0,2.3,IR,1618453813
178,Vanavara,60.34,102.2797,29.95,66,38,8.77,RU,1618453814
179,Limulunga,-15.0969,23.1376,64.15,82,97,4.21,ZM,1618453814
180,Codrington,-38.2667,141.9667,58.75,77,100,18.12,AU,1618453814
181,Ambon City,-3.6954,128.1814,89.6,62,40,4.61,ID,1618453815
182,Holme,56.1138,10.1725,30.99,86,47,2.3,DK,1618453815
183,Banda Aceh,5.5577,95.3222,84.24,71,58,5.3,ID,1618453815
184,Seymchan,62.8833,152.4333,15.22,76,100,4.99,RU,1618453816
185,Waipawa,-41.4122,175.5153,64.4,59,55,13.8,NZ,1618453816
186,Newark,40.7357,-74.1724,60.8,72,90,9.22,US,1618453566
187,Arraial do Cabo,-22.9661,-42.0278,73.69,64,49,4.74,BR,1618453816
188,Sola,-13.8833,167.55,82.58,70,64,12.26,VU,1618453817
189,Rahā,26.2333,92.5167,90.21,25,58,3.8,IN,1618453817
190,Örnsköldsvik,63.2909,18.7153,28.4,74,8,6.91,SE,1618453817
191,Faanui,-16.4833,-151.75,82.18,73,100,11.14,PF,1618453818
192,Zhuanghe,39.7008,122.9911,53.91,57,36,12.15,CN,1618453818
193,Los Corrales de Buelna,43.2636,-4.0726,43.0,99,2,3.56,ES,1618453818
194,Bambous Virieux,-20.3428,57.7575,77.0,88,75,2.3,MU,1618453819
195,Klaksvík,62.2266,-6.589,44.6,100,20,12.66,FO,1618453556
196,Olinda,-8.0089,-34.8553,78.8,83,75,5.75,BR,1618453739
197,Deputatsky,69.3,139.9,0.25,90,99,4.29,RU,1618453819
198,Ostrovnoy,68.0531,39.5131,26.13,84,84,26.02,RU,1618453820
199,Ancud,-41.8697,-73.8203,48.0,100,90,2.3,CL,1618453820
200,Dingle,10.9995,122.6711,87.62,61,90,7.7,PH,1618453821
201,Hay River,60.8156,-115.7999,41.0,42,20,4.61,CA,1618453805
202,Dongsheng,39.8161,109.9776,38.53,35,2,38.99,CN,1618453821
203,Kaitangata,-46.2817,169.8464,66.0,55,11,1.99,NZ,1618453821
204,Cananea,30.95,-110.3,64.99,16,100,11.97,MX,1618453822
205,San Cristobal,7.7669,-72.225,78.8,89,20,3.44,VE,1618453822
206,Guerrero Negro,27.9769,-114.0611,58.15,75,81,15.46,MX,1618453823
207,Gouré,13.9835,10.2704,75.67,6,3,7.23,NE,1618453823
208,Bhānpura,24.513,75.7469,86.29,24,17,5.1,IN,1618453823
209,Ixtapa,20.7,-105.2,77.0,78,1,5.75,MX,1618453537
210,Mulchén,-37.7167,-72.2333,56.05,77,55,3.69,CL,1618453824
211,Qandala,11.472,49.8728,78.51,72,85,3.58,SO,1618453824
212,Vardø,70.3705,31.1107,31.53,74,58,18.88,NO,1618453824
213,Fort Nelson,58.8053,-122.7002,59.0,29,40,5.75,CA,1618453825
214,Laguna,38.421,-121.4238,68.0,37,1,13.8,US,1618453825
215,Bollnäs,61.3482,16.3946,28.0,78,6,3.4,SE,1618453833
216,Bitung,1.4451,125.1824,87.8,62,20,9.22,ID,1618453833
217,Beringovskiy,63.05,179.3167,17.06,75,12,3.89,RU,1618453833
218,Bereda,43.2686,-7.5406,42.01,99,5,5.99,ES,1618453834
219,Turbat,26.0023,63.044,80.73,39,66,0.98,PK,1618453834
220,Kalabo,-14.97,22.6814,63.21,87,84,5.64,ZM,1618453834
221,Saldanha,-33.0117,17.9442,68.0,56,64,3.44,ZA,1618453835
222,Lata,40.1629,-8.3327,60.01,95,100,2.33,PT,1618453835
223,Xaxim,-26.9617,-52.5347,59.29,71,11,3.49,BR,1618453835
224,Kruisfontein,-34.0033,24.7314,57.0,97,2,1.99,ZA,1618453836
225,Port Hawkesbury,45.6169,-61.3485,33.01,86,1,3.44,CA,1618453678
226,Madison,34.7334,-86.5667,55.99,94,90,7.43,US,1618453711
227,Touros,-5.1989,-35.4608,77.0,94,20,3.44,BR,1618453836
228,Hobart,-42.8794,147.3294,59.0,38,20,20.71,AU,1618453837
229,Usinsk,65.9939,57.5281,31.03,74,100,20.31,RU,1618453837
230,Wakkanai,45.4094,141.6739,44.6,42,40,26.46,JP,1618453838
231,Mossamedes,-15.1961,12.1522,79.74,78,24,2.33,AO,1618453838
232,Shulan,44.4167,126.95,57.65,20,100,14.05,CN,1618453838
233,Egvekinot,66.3167,-179.1667,14.95,78,13,1.03,RU,1618453839
234,Karla,59.3723,24.9275,35.6,69,0,6.91,EE,1618453839
235,Vestmanna,62.1564,-7.1664,44.6,100,20,12.66,FO,1618453839
236,Mishan,45.55,131.8833,49.93,23,54,10.47,CN,1618453840
237,Bam,29.106,58.357,68.65,42,19,2.91,IR,1618453840
238,Avera,33.194,-82.5271,73.4,38,90,6.91,US,1618453840
239,Ahipara,-35.1667,173.1667,65.98,62,42,10.6,NZ,1618453841
240,Tame,6.461,-71.73,70.59,98,100,3.85,CO,1618453841
241,Tambovka,50.0969,128.0489,42.8,28,0,6.71,RU,1618453841
242,Marion,39.7684,-86.1555,51.01,50,40,14.97,US,1618453842
243,Port Lincoln,-34.7333,135.8667,67.62,48,20,13.2,AU,1618453842
244,St. George's,12.0564,-61.7485,80.6,83,20,13.8,GD,1618453842
245,Qaanaaq,77.484,-69.3632,-11.49,61,0,7.83,GL,1618453843
246,Saint Anthony,45.0205,-93.218,43.0,81,90,13.8,US,1618453843
247,Eureka,40.8021,-124.1637,54.0,67,1,1.52,US,1618453804
248,Iisalmi,63.5592,27.1907,30.2,69,0,5.75,FI,1618453844
249,Kangaatsiaq,68.3065,-53.4641,10.22,91,100,22.68,GL,1618453844
250,Moranbah,-22.0016,148.0466,82.9,25,6,12.33,AU,1618453844
251,Terra Nova,-12.3667,-40.6667,71.6,78,0,4.61,BR,1618453845
252,Ferme-Neuve,46.7001,-75.4493,48.2,81,97,3.44,CA,1618453845
253,Champerico,14.3,-91.9167,69.01,96,100,6.98,GT,1618453845
254,Barabai,-2.5833,115.3833,88.61,59,92,2.33,ID,1618453846
255,Milotice,48.9553,17.1424,35.01,80,99,4.81,CZ,1618453846
256,Bathsheba,13.2167,-59.5167,77.0,73,20,8.05,BB,1618453846
257,Strelka,58.0728,93.0344,32.88,70,92,7.63,RU,1618453847
258,Antalaha,-14.9003,50.2788,73.17,88,49,4.65,MG,1618453847
259,Carutapera,-1.195,-46.02,77.36,91,76,6.08,BR,1618453847
260,Beloha,-25.1667,45.05,69.6,96,13,2.98,MG,1618453848
261,Maumere,-8.6199,122.2111,84.65,63,54,6.67,ID,1618453848
262,Imeni Poliny Osipenko,52.4201,136.4853,30.99,73,52,7.31,RU,1618453849
263,Otofuke,42.9917,143.2003,44.6,42,75,17.27,JP,1618453849
264,Amaigbo,5.7892,7.8383,75.16,90,81,4.43,NG,1618453851
265,Kirakira,-10.4544,161.9205,84.11,76,88,5.73,SB,1618453851
266,Tilichiki,60.4667,166.1,23.11,86,100,6.87,RU,1618453852
267,Elektrogorsk,55.8794,38.7919,48.2,57,0,4.47,RU,1618453853
268,Flinders,-34.5833,150.8552,75.99,42,0,4.0,AU,1618453853
269,Tel Aviv-Yafo,32.0805,34.7805,55.0,71,0,3.44,IL,1618453853
270,College,64.8569,-147.8028,46.4,46,75,3.02,US,1618453854
271,Yatou,37.15,122.3833,55.78,40,46,20.15,CN,1618453854
272,Vila Franca do Campo,37.7167,-25.4333,57.2,88,20,6.91,PT,1618453855
273,Iranshahr,27.2025,60.6848,77.0,27,0,4.61,IR,1618453855
274,Qaqortoq,60.7167,-46.0333,32.0,74,23,1.14,GL,1618453855
275,Inhambane,-23.865,35.3833,70.97,80,1,2.93,MZ,1618453856
276,Chokurdakh,70.6333,147.9167,7.74,81,83,6.58,RU,1618453856
277,Gornoye Loo,43.7129,39.6049,48.2,81,8,11.18,RU,1618453856
278,Grindavik,63.8424,-22.4338,44.6,93,90,24.16,IS,1618453750
279,Vammala,61.3333,22.9,24.8,93,0,1.14,FI,1618453857
280,Esim,4.8699,-2.2405,79.61,85,100,6.76,GH,1618453861
281,Luwingu,-10.2621,29.9271,60.19,97,99,4.29,ZM,1618453861
282,Vestmannaeyjar,63.4427,-20.2734,44.06,92,100,29.59,IS,1618453861
283,Rawson,-43.3002,-65.1023,66.92,47,77,7.07,AR,1618453849
284,Vietri sul Mare,40.6687,14.7253,48.99,47,70,4.0,IT,1618453862
285,Green Valley,31.8543,-110.9937,75.0,13,100,1.99,US,1618453658
286,Kamariótissa,40.4833,25.4667,59.0,94,20,20.29,GR,1618453863
287,Leningradskiy,69.3833,178.4167,14.22,88,86,5.68,RU,1618453864
288,Wilmington,34.2257,-77.9447,73.0,78,1,17.27,US,1618453616
289,Talnakh,69.4865,88.3972,11.68,92,100,11.52,RU,1618453865
290,Bubaque,11.2833,-15.8333,77.38,80,80,10.6,GW,1618453866
291,Ngong,-1.3618,36.6566,62.6,88,75,4.45,KE,1618453866
292,Luanda,-8.8368,13.2343,78.8,89,20,1.14,AO,1618453844
293,Pacifica,37.6138,-122.4869,57.0,76,1,4.61,US,1618453857
294,San Quintín,30.4833,-115.95,56.3,72,87,16.15,MX,1618453867
295,Kavaratti,10.5669,72.642,83.89,67,1,1.03,IN,1618453867
296,Le Port,-20.9373,55.2919,73.4,88,90,10.36,RE,1618453868
297,Tabou,4.423,-7.3528,79.79,83,100,4.5,CI,1618453868
298,Baruun-Urt,46.6806,113.2792,30.99,77,100,28.21,MN,1618453868
299,Puerto Madryn,-42.7692,-65.0385,68.04,45,98,9.64,AR,1618453869
300,Tonj,7.2737,28.6822,78.8,38,12,4.74,SS,1618453869
301,Dhībān,35.0365,40.5167,58.24,34,18,4.79,SY,1618453869
302,Diamantino,-14.4086,-56.4461,76.73,76,100,4.38,BR,1618453685
303,Miandrivazo,-19.5167,45.4667,73.62,89,81,1.12,MG,1618453870
304,Platteville,42.7342,-90.4785,39.99,75,90,8.05,US,1618453870
305,Kedrovyy,56.1667,91.8167,33.8,69,40,8.95,RU,1618453870
306,Pozo Colorado,-23.4923,-58.7972,75.61,65,2,5.79,PY,1618453871
307,Pimenta Bueno,-11.6725,-61.1936,74.37,93,100,1.95,BR,1618453871
308,Tessalit,20.1986,1.0114,84.24,9,2,5.66,ML,1618453871
309,Ishigaki,24.3448,124.1572,75.2,88,75,12.66,JP,1618453873
310,Sur,22.5667,59.5289,85.77,39,2,4.18,OM,1618453873
311,Ust'-Karsk,52.7011,118.8077,42.33,27,100,2.33,RU,1618453873
312,Mildura,-34.2,142.15,66.2,37,90,11.5,AU,1618453874
313,Xai-Xai,-25.0519,33.6442,65.46,93,0,3.29,MZ,1618453874
314,Petropavlovsk-Kamchatskiy,53.0452,158.6483,42.8,87,75,15.66,RU,1618453875
315,Susanville,40.4163,-120.653,53.6,15,20,10.36,US,1618453875
316,Moindou,-21.6924,165.677,77.0,83,90,11.5,NC,1618453875
317,Kayamkulam,9.1833,76.5,80.08,83,65,3.51,IN,1618453850
318,Ondo,7.1,4.8333,73.98,98,97,2.53,NG,1618453876
319,Pangnirtung,66.1451,-65.7125,-9.96,97,95,5.21,CA,1618453876
320,Turukhansk,65.8167,87.9833,23.63,95,100,23.11,RU,1618453876
321,Hobyo,5.3505,48.5268,81.36,69,96,9.08,SO,1618453877
322,Kulachi,31.9286,70.4592,78.24,39,100,3.94,PK,1618453877
323,Havre-St-Pierre,50.2334,-63.5986,32.0,100,1,3.44,CA,1618453877
324,Vidisha,23.5333,77.8167,75.2,46,40,8.05,IN,1618453878
325,Kemijärvi,66.7131,27.4306,26.4,84,27,7.52,FI,1618453878
326,Siemiatycze,52.4272,22.8623,39.99,90,100,1.01,PL,1618453885
327,Belaya Gora,68.5333,146.4167,14.14,75,82,5.26,RU,1618453886
328,Altay,47.8667,88.1167,46.6,32,32,1.83,CN,1618453887
329,Guánica,17.9716,-66.908,77.0,49,74,1.01,PR,1618453887
330,Jiexiu,37.0244,111.9125,64.44,21,67,21.32,CN,1618453888
331,Huntsville,34.7304,-86.5861,55.99,94,90,7.54,US,1618453596
332,Paamiut,61.994,-49.6678,23.47,77,57,27.83,GL,1618453888
333,Kiryat Gat,31.61,34.7642,57.0,75,6,0.67,IL,1618453888
334,Nynäshamn,58.9034,17.9479,32.0,93,91,8.59,SE,1618453889
335,Biryusinsk,55.9634,97.8235,30.83,85,100,12.01,RU,1618453889
336,Kidal,18.4411,1.4078,87.12,8,0,12.06,ML,1618453889
337,Colares,38.7992,-9.4469,60.01,92,100,4.72,PT,1618453890
338,Raja,8.4596,25.678,73.17,12,44,3.11,SS,1618453890
339,Zheshart,62.0731,49.5733,39.43,79,100,8.08,RU,1618453890
340,Iqaluit,63.7506,-68.5145,-2.2,71,1,13.8,CA,1618453891
341,Hong Kong,22.2855,114.1577,73.0,88,99,5.01,HK,1618453801
342,Cap Malheureux,-19.9842,57.6142,75.0,87,83,3.0,MU,1618453865
343,Gayny,60.3071,54.3241,46.71,83,69,8.7,RU,1618453891
344,Srednekolymsk,67.45,153.6833,17.11,68,12,8.41,RU,1618453892
345,Meulaboh,4.1363,96.1285,83.44,71,84,1.43,ID,1618453892
346,Richards Bay,-28.783,32.0377,71.31,89,48,7.92,ZA,1618453892
347,West Milford,41.1312,-74.3674,57.99,80,92,5.21,US,1618453624
348,Rocha,-34.4833,-54.3333,57.74,93,48,6.02,UY,1618453893
349,Santa Cruz,30.4202,-9.5982,62.6,77,0,5.75,MA,1618453749
350,Galle,6.0367,80.217,80.89,76,80,1.07,LK,1618453596
351,Itoman,26.1247,127.6694,73.4,64,75,10.36,JP,1618453893
352,Trelew,-43.249,-65.3051,68.23,37,63,8.23,AR,1618453894
353,Loralai,30.3705,68.598,68.22,32,92,3.24,PK,1618453894
354,Klyuchi,52.2667,79.1667,46.13,82,100,4.94,RU,1618453894
355,Kiama,-34.6833,150.8667,75.99,42,1,4.0,AU,1618453895
356,Warrnambool,-38.3833,142.4833,55.99,92,100,8.01,AU,1618453895
357,Bonavista,48.6499,-53.1147,32.0,93,7,2.3,CA,1618453895
